"Collection_number","CBG_ACC_BOOL","Scientific_name","Binomial","Binomial_authority_issues","Infra_auth_issues","Project_name","Site_name","latitude_dd","longitude_dd","Datum","Primary_Collector","Associated_Collectors","Habitat","Fide","Determined_by","Aspect","Slope","Notes","latitude_dms","longitude_dms","Long_AutoFill_Flag","Lat_AutoFill_Flag","datum","Country","State","County","Feature","Mang_Name","Unit_Nm","trs","Gen","elevation_m","elevation_ft","aspect","slope","geomorphon","geology","physical_environ","Site","Allotment","Full_name","Name_authority","Genus","Epithet","Infrarank","Infraspecies","Associates","Vegetation","Date_digital","Date_digital_ymd","Date_digital_day","Date_digital_mo","Date_digital_yr","Date_digital_text","Determined_date","Determined_date_ymd","Determined_date_day","Determined_date_mo","Determined_date_yr","Determined_date_text","POW_Query","Family","POW_Name_authority","POW_Full_name","Binomial_authority","POW_Genus","POW_Epithet","POW_Infrarank","POW_Infraspecies","Infraspecific_authority","Directions_BL"
1207,NA,"Pentachaeta thymophylla","Pentachaeta thymophylla",NA,NA,"Assess, Inventory, and Monitor","Sandy Valley Road",35.80884,-115.47074,"NAD83","Reed Clark Benkendorf",NA,"Open rocky stable calcareous slopes","Jepson Desert Manual","R.C. Benkendorf",126,5,NA,"N 35°48'32","W 115°28'15",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","25S 58E 04","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 25S 58E 04","1,490","4,890",126,5,"spur","Sedimentary, undifferentiated","At 4,890 ft (1,490 m), on a spur, 5° slo. 126° asp.; geology: Sedimentary, undifferentiated.","0.9mi at 76° from Table mtn.",NA,"Pentachaeta lyonii","Pentachaeta lyonii A.Gray","Pentachaeta","lyonii",NA,NA,"Lepidium fremontii, Thymophylla pentachaeta, Bromus pubescens","Atriplex canescens, Yucca brevifolia, Thamnosma texana, Poa secunda","4.15.2018",2018-04-15,15,4,2018,"15 Apr, 2018","12.31.2018",2018-12-31,31,12,2018,"31 Dec, 2018","Pentachaeta lyonii","Asteraceae","Pentachaeta lyonii A.Gray","Pentachaeta lyonii","A.Gray","Pentachaeta","lyonii",NA,NA,NA,"1 hr from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 3.3 mi. Turn left 1.4 mi. Head to Table mtn."
1208,NA,"Pectocarya platycarpa","Pectocarya platycarpa",NA,NA,"Assess, Inventory, and Monitor",NA,35.80884,-115.47074,"NAD83","Reed Clark Benkendorf",NA,"Open rocky stable calcareous slopes","Jepson eFlora","R.C. Benkendorf",126,5,NA,"N 35°48'32","W 115°28'15",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","25S 58E 04","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 25S 58E 04","1,490","4,890",126,5,"spur","Sedimentary, undifferentiated","At 4,890 ft (1,490 m), on a spur, 5° slo. 126° asp.; geology: Sedimentary, undifferentiated.","0.9mi at 76° from Table mtn.",NA,"Pectocarya platycarpa","Pectocarya platycarpa (Munz & I.M.Johnst.) Munz & I.M.Johnst.","Pectocarya","platycarpa",NA,NA,"Lepidium fremontii, Thymophylla pentachaeta, Bromus pubescens","Atriplex canescens, Yucca brevifolia, Thamnosma texana, Poa secunda","4.15.2018",2018-04-15,15,4,2018,"15 Apr, 2018","04.09.2025",2025-04-09,9,4,2025,"9 Apr, 2025","Pectocarya platycarpa","Boraginaceae","Pectocarya platycarpa (Munz & I.M.Johnst.) Munz & I.M.Johnst.","Pectocarya platycarpa","(Munz & I.M.Johnst.) Munz & I.M.Johnst.","Pectocarya","platycarpa",NA,NA,NA,"1 hr from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 3.3 mi. Turn left 1.4 mi. Head to Table mtn."
1210,NA,"Boechera pulchra","Boechera pulchra",NA,NA,"Assess, Inventory, and Monitor",NA,35.80884,-115.47074,"NAD83","Reed Clark Benkendorf",NA,"Open rocky stable calcareous slopes","Jepson eFlora","R.C. Benkendorf",126,5,NA,"N 35°48'32","W 115°28'15",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","25S 58E 04","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 25S 58E 04","1,490","4,890",126,5,"spur","Sedimentary, undifferentiated","At 4,890 ft (1,490 m), on a spur, 5° slo. 126° asp.; geology: Sedimentary, undifferentiated.","0.9mi at 76° from Table mtn.",NA,"Boechera pulchra","Boechera pulchra (M.E.Jones ex S.Watson) W.A.Weber","Boechera","pulchra",NA,NA,"Atriplex canescens, Yucca brevifolia, Thamnosma texana, Galium multiflorum","Atriplex canescens, Yucca brevifolia, Thamnosma texana, Poa secunda","4.15.2018",2018-04-15,15,4,2018,"15 Apr, 2018","04.09.2025",2025-04-09,9,4,2025,"9 Apr, 2025","Boechera pulchra","Brassicaceae","Boechera pulchra (M.E.Jones ex S.Watson) W.A.Weber","Boechera pulchra","(M.E.Jones ex S.Watson) W.A.Weber","Boechera","pulchra",NA,NA,NA,"1 hr from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 3.3 mi. Turn left 1.4 mi. Head to Table mtn."
1214,NA,"Mentzelia albicaulis","Mentzelia albicaulis",NA,NA,"Assess, Inventory, and Monitor","Sandy Valley Road",35.81441,-115.45888,"NAD83","Reed Clark Benkendorf",NA,"Alluvial wash channels upland of current wash, rocky gravel and some cobble","Jepson Desert Manual","R.C. Benkendorf",20,14,NA,"N 35°48'52","W 115°27'32",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","24S 58E 34","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 24S 58E 34","1,269","4,160",20,14,"hollow","Sedimentary, carbonate","At 4,160 ft (1,269 m), in a hollow, 14° slo. 20° asp.; geology: Sedimentary, carbonate.","1mi at 323° from New England Springs.",NA,"Mentzelia albicaulis","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A.Gray","Mentzelia","albicaulis",NA,NA,"Eriogonum inflatum, Bromus pubescens, Cryptantha pectocarya, Ephedra sp.","Gutierrezia sarothrae, Eriogonum fasciculatum, Ephedra sp., Yucca schidigera","4.20.2018",2018-04-20,20,4,2018,"20 Apr, 2018","12.31.2018",2018-12-31,31,12,2018,"31 Dec, 2018","Mentzelia albicaulis","Loasaceae","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A.Gray","Mentzelia albicaulis","(Douglas ex Hook.) Douglas ex Torr. & A.Gray","Mentzelia","albicaulis",NA,NA,NA,"50mins from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 1.7 mi. Turn left 0.4 mi. Head to New England Springs."
1217,NA,"Cryptantha pectocarya","Cryptantha pectocarya",NA,NA,"Assess, Inventory, and Monitor","Sandy Valley Road",35.81441,-115.45888,"NAD83","Reed Clark Benkendorf",NA,"Alluvial wash channels upland of current wash, rocky gravel and some cobble","Jepson Desert Manual","R.C. Benkendorf",20,14,NA,"N 35°48'52","W 115°27'32",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","24S 58E 34","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 24S 58E 34","1,269","4,160",20,14,"hollow","Sedimentary, carbonate","At 4,160 ft (1,269 m), in a hollow, 14° slo. 20° asp.; geology: Sedimentary, carbonate.","1mi at 323° from New England Springs.",NA,"Cryptantha pectocarya","Cryptantha pectocarya (Torr.) Greene","Cryptantha","pectocarya",NA,NA,"Eriogonum inflatum, Bromus pubescens, Ephedra sp.","Gutierrezia sarothrae, Eriogonum fasciculatum, Ephedra sp., Yucca schidigera","4.20.2018",2018-04-20,20,4,2018,"20 Apr, 2018","12.31.2018",2018-12-31,31,12,2018,"31 Dec, 2018","Cryptantha pectocarya","Boraginaceae","Cryptantha pterocarya (Torr.) Greene var. pterocarya","Cryptantha pterocarya var. pterocarya","(Torr.) Greene","Cryptantha","pterocarya","var.","pterocarya",NA,"50mins from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 1.7 mi. Turn left 0.4 mi. Head to New England Springs."
1218,NA,"Opuntia basilaris","Opuntia basilaris",NA,NA,"Assess, Inventory, and Monitor","Sandy Valley Road",35.81441,-115.45888,"NAD83","Reed Clark Benkendorf",NA,"Toe of baslat slope, clay loam soils","Jepson Desert Manual","R.C. Benkendorf",20,14,NA,"N 35°48'52","W 115°27'32",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","24S 58E 34","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 24S 58E 34","1,269","4,160",20,14,"hollow","Sedimentary, carbonate","At 4,160 ft (1,269 m), in a hollow, 14° slo. 20° asp.; geology: Sedimentary, carbonate.","1mi at 323° from New England Springs.",NA,"Opuntia basilaris","Opuntia basilaris Engelm. & J.M.Bigelow","Opuntia","basilaris",NA,NA,"NA","Yucca brevifolia, Ephedra sp., Krameria sp., Larrea tridentata, Yucca schidigera","4.20.2018",2018-04-20,20,4,2018,"20 Apr, 2018","12.31.2018",2018-12-31,31,12,2018,"31 Dec, 2018","Opuntia basilaris","Cactaceae","Opuntia basilaris Engelm. & J.M.Bigelow","Opuntia basilaris","Engelm. & J.M.Bigelow","Opuntia","basilaris",NA,NA,NA,"50mins from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 1.7 mi. Turn left 0.4 mi. Head to New England Springs."
1219,NA,"Muhlenbergia appressa","Muhlenbergia appressa",NA,NA,"Assess, Inventory, and Monitor","Sandy Valley Road",35.81441,-115.45888,"NAD83","Reed Clark Benkendorf",NA,"In a gravelly wash","Jepson Desert Manual","R.C. Benkendorf",20,14,NA,"N 35°48'52","W 115°27'32",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","24S 58E 34","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 24S 58E 34","1,269","4,160",20,14,"hollow","Sedimentary, carbonate","At 4,160 ft (1,269 m), in a hollow, 14° slo. 20° asp.; geology: Sedimentary, carbonate.","1mi at 323° from New England Springs.",NA,"Muhlenbergia appressa","Muhlenbergia appressa Goodd.","Muhlenbergia","appressa",NA,NA,"Bromus pubescens, Stipa sp., Oenothera suffrutescens","Yucca brevifolia, Ephedra sp., Krameria sp., Larrea tridentata, Yucca schidigera","4.20.2018",2018-04-20,20,4,2018,"20 Apr, 2018","12.31.2018",2018-12-31,31,12,2018,"31 Dec, 2018","Muhlenbergia appressa","Poaceae","Muhlenbergia appressa Goodd.","Muhlenbergia appressa","Goodd.","Muhlenbergia","appressa",NA,NA,NA,"50mins from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 1.7 mi. Turn left 0.4 mi. Head to New England Springs."
1220,NA,"Pectocarya recurvata","Pectocarya recurvata",NA,NA,"Assess, Inventory, and Monitor","Sandy Valley Road",35.81441,-115.45888,"NAD83","Reed Clark Benkendorf",NA,"Bare patches of soil on rocky ledge","Jepson Desert Manual","R.C. Benkendorf",20,14,NA,"N 35°48'52","W 115°27'32",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","24S 58E 34","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 24S 58E 34","1,269","4,160",20,14,"hollow","Sedimentary, carbonate","At 4,160 ft (1,269 m), in a hollow, 14° slo. 20° asp.; geology: Sedimentary, carbonate.","1mi at 323° from New England Springs.",NA,"Pectocarya recurvata","Pectocarya recurvata I.M.Johnst.","Pectocarya","recurvata",NA,NA,"Bromus pubescens, Schismus barbatus, Descurainia pinnata","Yucca schidigera, Ephedra nevadensis, Gutierrezia sarothrae, Yucca brevifolia, Ambrosia dumosa","4.20.2018",2018-04-20,20,4,2018,"20 Apr, 2018","12.31.2018",2018-12-31,31,12,2018,"31 Dec, 2018","Pectocarya recurvata","Boraginaceae","Pectocarya recurvata I.M.Johnst.","Pectocarya recurvata","I.M.Johnst.","Pectocarya","recurvata",NA,NA,NA,"50mins from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 1.7 mi. Turn left 0.4 mi. Head to New England Springs."
1221,NA,"Eremogone macradenia","Eremogone macradenia",NA,NA,"Assess, Inventory, and Monitor",NA,35.81441,-115.45888,"NAD83","Reed Clark Benkendorf",NA,"Bare patches of soil on rocky ledge","Jepson eFlora","R.C. Benkendorf",20,14,NA,"N 35°48'52","W 115°27'32",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","24S 58E 34","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 24S 58E 34","1,269","4,160",20,14,"hollow","Sedimentary, carbonate","At 4,160 ft (1,269 m), in a hollow, 14° slo. 20° asp.; geology: Sedimentary, carbonate.","1mi at 323° from New England Springs.",NA,"Eremogone macradenia","Eremogone macradenia (S.Watson) Ikonn.","Eremogone","macradenia",NA,NA,"Bromus pubescens, Schismus barbatus, Descurainia pinnata","Yucca schidigera, Ephedra nevadensis, Gutierrezia sarothrae, Yucca brevifolia, Ambrosia dumosa","4.20.2018",2018-04-20,20,4,2018,"20 Apr, 2018","04.09.2025",2025-04-09,9,4,2025,"9 Apr, 2025","Eremogone macradenia","Caryophyllaceae","Eremogone macradenia (S.Watson) Ikonn.","Eremogone macradenia","(S.Watson) Ikonn.","Eremogone","macradenia",NA,NA,NA,"50mins from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 1.7 mi. Turn left 0.4 mi. Head to New England Springs."
1226,NA,"Phacelia crenulata","Phacelia crenulata",NA,NA,"Assess, Inventory, and Monitor","Sandy Valley Road",35.81441,-115.45888,"NAD83","Reed Clark Benkendorf",NA,"Open slopes at top of ridge","Jepson Desert Manual","R.C. Benkendorf",20,14,NA,"N 35°48'52","W 115°27'32",NA,NA,"WGS84","U.S.A.","Nevada","Clark","Spring Mountains","BLM","Las Vegas FO","24S 58E 34","U.S.A., Nevada, Clark Co., Spring Mountains, BLM Las Vegas FO 24S 58E 34","1,269","4,160",20,14,"hollow","Sedimentary, carbonate","At 4,160 ft (1,269 m), in a hollow, 14° slo. 20° asp.; geology: Sedimentary, carbonate.","1mi at 323° from New England Springs.",NA,"Phacelia crenulata","Phacelia crenulata Torr. ex S.Watson","Phacelia","crenulata",NA,NA,"Bromus pubescens, Schismus barbatus, Descurainia pinnata","Yucca schidigera, Ephedra nevadensis, Gutierrezia sarothrae, Yucca brevifolia, Ambrosia dumosa","4.20.2018",2018-04-20,20,4,2018,"20 Apr, 2018","12.31.2018",2018-12-31,31,12,2018,"31 Dec, 2018","Phacelia crenulata","Boraginaceae","Phacelia crenulata Torr. ex S.Watson","Phacelia crenulata","Torr. ex S.Watson","Phacelia","crenulata",NA,NA,NA,"50mins from Henderson NV via I-15 S. Turn L at the 1st cross street on NV-564 W/E Lake Mead Pkwy 2.6 mi. NV-564 W/E Lake Mead Pkwy turns slightly left 10.5 mi. Take exit 12B to merge on I-15 SParts of this road may be closed at certain times or days 22.4 mi. Take exit 12 toward Goodsprings 0.3 mi. Merge on NV-161 W/Goodsprings Rd 6.3 mi. Turn L on Sandy Valley Rd 1.7 mi. Turn left 0.4 mi. Head to New England Springs."
